"site","year","TRT","class","count","clickr","site_year","tier1","tier2","tier3"
"119","1510","CON","Caulerpa",1,"CA","119_1510","noncalcifying","other.noncalcifying","other.noncalcifying"
"121","1510","CON","Caulerpa",1,"CA","121_1510","noncalcifying","other.noncalcifying","other.noncalcifying"
"123","1510","XSP","Caulerpa",3,"CA","123_1510","noncalcifying","other.noncalcifying","other.noncalcifying"
"127","1510","BYSP","Caulerpa",6,"CA","127_1510","noncalcifying","other.noncalcifying","other.noncalcifying"
"129","1510","REM","Caulerpa",5,"CA","129_1510","noncalcifying","other.noncalcifying","other.noncalcifying"
"101","1606","REM","Caulerpa",4,"CA","101_1606","noncalcifying","other.noncalcifying","other.noncalcifying"
"109","1606","RAN","Caulerpa",1,"CA","109_1606","noncalcifying","other.noncalcifying","other.noncalcifying"
"111","1606","REM","Caulerpa",5,"CA","111_1606","noncalcifying","other.noncalcifying","other.noncalcifying"
"113","1606","XSP","Caulerpa",5,"CA","113_1606","noncalcifying","other.noncalcifying","other.noncalcifying"
"115","1606","BYSP","Caulerpa",4,"CA","115_1606","noncalcifying","other.noncalcifying","other.noncalcifying"
"117","1606","RAN","Caulerpa",2,"CA","117_1606","noncalcifying","other.noncalcifying","other.noncalcifying"
"121","1606","CON","Caulerpa",1,"CA","121_1606","noncalcifying","other.noncalcifying","other.noncalcifying"
"123","1606","XSP","Caulerpa",1,"CA","123_1606","noncalcifying","other.noncalcifying","other.noncalcifying"
"125","1606","CON","Caulerpa",6,"CA","125_1606","noncalcifying","other.noncalcifying","other.noncalcifying"
"129","1606","REM","Caulerpa",4,"CA","129_1606","noncalcifying","other.noncalcifying","other.noncalcifying"
"101","1609","REM","Caulerpa",1,"CA","101_1609","noncalcifying","other.noncalcifying","other.noncalcifying"
"105","1609","BYSP","Caulerpa",2,"CA","105_1609","noncalcifying","other.noncalcifying","other.noncalcifying"
"109","1609","RAN","Caulerpa",3,"CA","109_1609","noncalcifying","other.noncalcifying","other.noncalcifying"
"111","1609","REM","Caulerpa",5,"CA","111_1609","noncalcifying","other.noncalcifying","other.noncalcifying"
"113","1609","XSP","Caulerpa",3,"CA","113_1609","noncalcifying","other.noncalcifying","other.noncalcifying"
"115","1609","BYSP","Caulerpa",2,"CA","115_1609","noncalcifying","other.noncalcifying","other.noncalcifying"
"117","1609","RAN","Caulerpa",2,"CA","117_1609","noncalcifying","other.noncalcifying","other.noncalcifying"
"119","1609","CON","Caulerpa",2,"CA","119_1609","noncalcifying","other.noncalcifying","other.noncalcifying"
"121","1609","CON","Caulerpa",2,"CA","121_1609","noncalcifying","other.noncalcifying","other.noncalcifying"
"123","1609","XSP","Caulerpa",4,"CA","123_1609","noncalcifying","other.noncalcifying","other.noncalcifying"
"125","1609","CON","Caulerpa",3,"CA","125_1609","noncalcifying","other.noncalcifying","other.noncalcifying"
"127","1609","BYSP","Caulerpa",10,"CA","127_1609","noncalcifying","other.noncalcifying","other.noncalcifying"
"129","1609","REM","Caulerpa",4,"CA","129_1609","noncalcifying","other.noncalcifying","other.noncalcifying"
"103","1809","RAN","Caulerpa",1,"CA","103_1809","noncalcifying","other.noncalcifying","other.noncalcifying"
"101","1408","REM","CCA",2,"CA","101_1408","calcifying","calcifying.algae","CCA"
"103","1408","RAN","CCA",13,"CA","103_1408","calcifying","calcifying.algae","CCA"
"105","1408","BYSP","CCA",3,"CA","105_1408","calcifying","calcifying.algae","CCA"
"107","1408","XSP","CCA",30,"CA","107_1408","calcifying","calcifying.algae","CCA"
"109","1408","RAN","CCA",1,"CA","109_1408","calcifying","calcifying.algae","CCA"
"111","1408","REM","CCA",4,"CA","111_1408","calcifying","calcifying.algae","CCA"
"113","1408","XSP","CCA",1,"CA","113_1408","calcifying","calcifying.algae","CCA"
"115","1408","BYSP","CCA",6,"CA","115_1408","calcifying","calcifying.algae","CCA"
"117","1408","RAN","CCA",26,"CA","117_1408","calcifying","calcifying.algae","CCA"
"123","1408","XSP","CCA",2,"CA","123_1408","calcifying","calcifying.algae","CCA"
"127","1408","BYSP","CCA",1,"CA","127_1408","calcifying","calcifying.algae","CCA"
"129","1408","REM","CCA",3,"CA","129_1408","calcifying","calcifying.algae","CCA"
"115","1409","BYSP","CCA",1,"CA","115_1409","calcifying","calcifying.algae","CCA"
"117","1409","RAN","CCA",2,"CA","117_1409","calcifying","calcifying.algae","CCA"
"127","1409","BYSP","CCA",1,"CA","127_1409","calcifying","calcifying.algae","CCA"
"101","1509","REM","CCA",63,"CA","101_1509","calcifying","calcifying.algae","CCA"
"103","1509","RAN","CCA",43,"CA","103_1509","calcifying","calcifying.algae","CCA"
"105","1509","BYSP","CCA",17,"CA","105_1509","calcifying","calcifying.algae","CCA"
"107","1509","XSP","CCA",77,"CA","107_1509","calcifying","calcifying.algae","CCA"
"109","1509","RAN","CCA",84,"CA","109_1509","calcifying","calcifying.algae","CCA"
"111","1509","REM","CCA",125,"CA","111_1509","calcifying","calcifying.algae","CCA"
"113","1509","XSP","CCA",92,"CA","113_1509","calcifying","calcifying.algae","CCA"
"115","1509","BYSP","CCA",77,"CA","115_1509","calcifying","calcifying.algae","CCA"
"117","1509","RAN","CCA",79,"CA","117_1509","calcifying","calcifying.algae","CCA"
"119","1509","CON","CCA",18,"CA","119_1509","calcifying","calcifying.algae","CCA"
"121","1509","CON","CCA",26,"CA","121_1509","calcifying","calcifying.algae","CCA"
"123","1509","XSP","CCA",32,"CA","123_1509","calcifying","calcifying.algae","CCA"
"125","1509","CON","CCA",9,"CA","125_1509","calcifying","calcifying.algae","CCA"
"127","1509","BYSP","CCA",104,"CA","127_1509","calcifying","calcifying.algae","CCA"
"129","1509","REM","CCA",133,"CA","129_1509","calcifying","calcifying.algae","CCA"
"101","1510","REM","CCA",59,"CA","101_1510","calcifying","calcifying.algae","CCA"
"103","1510","RAN","CCA",17,"CA","103_1510","calcifying","calcifying.algae","CCA"
"105","1510","BYSP","CCA",6,"CA","105_1510","calcifying","calcifying.algae","CCA"
"107","1510","XSP","CCA",45,"CA","107_1510","calcifying","calcifying.algae","CCA"
"109","1510","RAN","CCA",63,"CA","109_1510","calcifying","calcifying.algae","CCA"
"111","1510","REM","CCA",119,"CA","111_1510","calcifying","calcifying.algae","CCA"
"113","1510","XSP","CCA",68,"CA","113_1510","calcifying","calcifying.algae","CCA"
"115","1510","BYSP","CCA",66,"CA","115_1510","calcifying","calcifying.algae","CCA"
"117","1510","RAN","CCA",51,"CA","117_1510","calcifying","calcifying.algae","CCA"
"119","1510","CON","CCA",18,"CA","119_1510","calcifying","calcifying.algae","CCA"
"121","1510","CON","CCA",26,"CA","121_1510","calcifying","calcifying.algae","CCA"
"123","1510","XSP","CCA",26,"CA","123_1510","calcifying","calcifying.algae","CCA"
"125","1510","CON","CCA",9,"CA","125_1510","calcifying","calcifying.algae","CCA"
"127","1510","BYSP","CCA",95,"CA","127_1510","calcifying","calcifying.algae","CCA"
"129","1510","REM","CCA",117,"CA","129_1510","calcifying","calcifying.algae","CCA"
"101","1606","REM","CCA",39,"CA","101_1606","calcifying","calcifying.algae","CCA"
"103","1606","RAN","CCA",11,"CA","103_1606","calcifying","calcifying.algae","CCA"
"105","1606","BYSP","CCA",2,"CA","105_1606","calcifying","calcifying.algae","CCA"
"107","1606","XSP","CCA",25,"CA","107_1606","calcifying","calcifying.algae","CCA"
"109","1606","RAN","CCA",57,"CA","109_1606","calcifying","calcifying.algae","CCA"
"111","1606","REM","CCA",123,"CA","111_1606","calcifying","calcifying.algae","CCA"
"113","1606","XSP","CCA",37,"CA","113_1606","calcifying","calcifying.algae","CCA"
"115","1606","BYSP","CCA",42,"CA","115_1606","calcifying","calcifying.algae","CCA"
"117","1606","RAN","CCA",46,"CA","117_1606","calcifying","calcifying.algae","CCA"
"119","1606","CON","CCA",23,"CA","119_1606","calcifying","calcifying.algae","CCA"
"121","1606","CON","CCA",38,"CA","121_1606","calcifying","calcifying.algae","CCA"
"123","1606","XSP","CCA",17,"CA","123_1606","calcifying","calcifying.algae","CCA"
"125","1606","CON","CCA",79,"CA","125_1606","calcifying","calcifying.algae","CCA"
"127","1606","BYSP","CCA",85,"CA","127_1606","calcifying","calcifying.algae","CCA"
"129","1606","REM","CCA",87,"CA","129_1606","calcifying","calcifying.algae","CCA"
"101","1609","REM","CCA",39,"CA","101_1609","calcifying","calcifying.algae","CCA"
"103","1609","RAN","CCA",10,"CA","103_1609","calcifying","calcifying.algae","CCA"
"105","1609","BYSP","CCA",15,"CA","105_1609","calcifying","calcifying.algae","CCA"
"107","1609","XSP","CCA",51,"CA","107_1609","calcifying","calcifying.algae","CCA"
"109","1609","RAN","CCA",113,"CA","109_1609","calcifying","calcifying.algae","CCA"
"111","1609","REM","CCA",123,"CA","111_1609","calcifying","calcifying.algae","CCA"
