"","site","year","class","count","TRT","percent"
"145","103","1809","CCA",75,"RAN",0.247524752475248
"146","103","1809","Caulerpa",1,"RAN",0.0033003300330033
"147","103","1809","Hydnophora",1,"RAN",0.0033003300330033
"148","103","1809","M. capitata",4,"RAN",0.0132013201320132
"149","103","1809","P. damicornis",6,"RAN",0.0198019801980198
"150","103","1809","Peyssonnelia",15,"RAN",0.0495049504950495
"151","103","1809","Psammocora spp.",1,"RAN",0.0033003300330033
"152","103","1809","Turf",177,"RAN",0.584158415841584
"153","103","2019","A. acuminata",38,"RAN",0.113432835820896
"154","103","2019","CCA",90,"RAN",0.26865671641791
"155","103","2019","Caulerpa",7,"RAN",0.0208955223880597
"156","103","2019","Corallimorph",1,"RAN",0.00298507462686567
"157","103","2019","Lobophora",18,"RAN",0.0537313432835821
"158","103","2019","M. capitata",6,"RAN",0.017910447761194
"159","103","2019","P. damicornis",8,"RAN",0.0238805970149254
"160","103","2019","Peyssonnelia",16,"RAN",0.0477611940298507
"161","103","2019","Turf",151,"RAN",0.450746268656716
"162","103","2020","A. acuminata",57,"RAN",0.129545454545455
"163","103","2020","CCA",116,"RAN",0.263636363636364
"164","103","2020","Corallimorph",4,"RAN",0.00909090909090909
"165","103","2020","Halimeda",2,"RAN",0.00454545454545455
"166","103","2020","Lobophora",11,"RAN",0.025
"167","103","2020","M. capitata",2,"RAN",0.00454545454545455
"168","103","2020","P. damicornis",16,"RAN",0.0363636363636364
"169","103","2020","Peyssonnelia",42,"RAN",0.0954545454545455
"170","103","2020","Turf",190,"RAN",0.431818181818182
"171","103","2022","A. acuminata",63,"RAN",0.147540983606557
"172","103","2022","CCA",115,"RAN",0.269320843091335
"173","103","2022","Caulerpa",3,"RAN",0.00702576112412178
"174","103","2022","Corallimorph",3,"RAN",0.00702576112412178
"175","103","2022","Halimeda",2,"RAN",0.00468384074941452
"176","103","2022","Lobophora",46,"RAN",0.107728337236534
"177","103","2022","M. capitata",5,"RAN",0.0117096018735363
"178","103","2022","P. damicornis",34,"RAN",0.0796252927400468
"179","103","2022","Peyssonnelia",11,"RAN",0.0257611241217799
"180","103","2022","Sediment",1,"RAN",0.00234192037470726
"181","103","2022","Turf",144,"RAN",0.337236533957845
"182","105","1408","CCA",3,"BYSP",0.0115384615384615
"183","105","1408","Corallimorph",140,"BYSP",0.538461538461538
"184","105","1408","Galaxaura",3,"BYSP",0.0115384615384615
"185","105","1408","Limestone",7,"BYSP",0.0269230769230769
"186","105","1408","Peyssonnelia",13,"BYSP",0.05
"187","105","1408","Red_calc_mac",1,"BYSP",0.00384615384615385
"188","105","1408","Sediment",18,"BYSP",0.0692307692307692
"189","105","1408","Turf",75,"BYSP",0.288461538461538
"190","105","1409","Limestone",233,"BYSP",0.970833333333333
"191","105","1409","Peyssonnelia",5,"BYSP",0.0208333333333333
"192","105","1409","Turf",2,"BYSP",0.00833333333333333
"193","105","1509","A. acuminata",3,"BYSP",0.0101010101010101
"194","105","1509","CCA",17,"BYSP",0.0572390572390572
"195","105","1509","Caulerpa",15,"BYSP",0.0505050505050505
"196","105","1509","Corallimorph",4,"BYSP",0.0134680134680135
"197","105","1509","Galaxaura",4,"BYSP",0.0134680134680135
"198","105","1509","Limestone",3,"BYSP",0.0101010101010101
"199","105","1509","Lobophora",1,"BYSP",0.00336700336700337
"200","105","1509","P. damicornis",1,"BYSP",0.00336700336700337
"201","105","1509","Peyssonnelia",1,"BYSP",0.00336700336700337
"202","105","1509","Red_calc_mac",4,"BYSP",0.0134680134680135
"203","105","1509","Sediment",11,"BYSP",0.037037037037037
"204","105","1509","Turf",233,"BYSP",0.784511784511784
"205","105","1510","A. acuminata",4,"BYSP",0.0136518771331058
"206","105","1510","CCA",6,"BYSP",0.0204778156996587
"207","105","1510","Caulerpa",15,"BYSP",0.0511945392491468
"208","105","1510","Galaxaura",1,"BYSP",0.00341296928327645
"209","105","1510","Limestone",1,"BYSP",0.00341296928327645
"210","105","1510","M. capitata",2,"BYSP",0.0068259385665529
"211","105","1510","P. damicornis",3,"BYSP",0.0102389078498294
"212","105","1510","Peyssonnelia",2,"BYSP",0.0068259385665529
"213","105","1510","Red_calc_mac",1,"BYSP",0.00341296928327645
"214","105","1510","Sediment",14,"BYSP",0.0477815699658703
"215","105","1510","Turf",244,"BYSP",0.832764505119454
"216","105","1606","A. acuminata",7,"BYSP",0.023489932885906
"217","105","1606","CCA",2,"BYSP",0.00671140939597315
"218","105","1606","Corallimorph",2,"BYSP",0.00671140939597315
"219","105","1606","Limestone",2,"BYSP",0.00671140939597315
"220","105","1606","M. capitata",3,"BYSP",0.0100671140939597
"221","105","1606","Peyssonnelia",3,"BYSP",0.0100671140939597
"222","105","1606","Red_calc_mac",2,"BYSP",0.00671140939597315
"223","105","1606","Sediment",9,"BYSP",0.0302013422818792
"224","105","1606","Turf",268,"BYSP",0.899328859060403
"225","105","1609","A. acuminata",8,"BYSP",0.0271186440677966
"226","105","1609","CCA",15,"BYSP",0.0508474576271186
"227","105","1609","Caulerpa",2,"BYSP",0.00677966101694915
"228","105","1609","Corallimorph",1,"BYSP",0.00338983050847458
"229","105","1609","Galaxaura",2,"BYSP",0.00677966101694915
"230","105","1609","Limestone",1,"BYSP",0.00338983050847458
"231","105","1609","M. capitata",1,"BYSP",0.00338983050847458
"232","105","1609","Montipora spp.",2,"BYSP",0.00677966101694915
"233","105","1609","P. damicornis",1,"BYSP",0.00338983050847458
"234","105","1609","Peyssonnelia",5,"BYSP",0.0169491525423729
"235","105","1609","Red_calc_mac",1,"BYSP",0.00338983050847458
"236","105","1609","Turf",256,"BYSP",0.867796610169492
"237","105","1709","A. acuminata",19,"BYSP",0.0664335664335664
"238","105","1709","CCA",64,"BYSP",0.223776223776224
"239","105","1709","Corallimorph",1,"BYSP",0.0034965034965035
"240","105","1709","Galaxaura",10,"BYSP",0.034965034965035
"241","105","1709","Limestone",1,"BYSP",0.0034965034965035
"242","105","1709","Lobophora",2,"BYSP",0.00699300699300699
"243","105","1709","M. capitata",2,"BYSP",0.00699300699300699
"244","105","1709","Montipora spp.",1,"BYSP",0.0034965034965035
"245","105","1709","P. damicornis",4,"BYSP",0.013986013986014
"246","105","1709","Peyssonnelia",13,"BYSP",0.0454545454545455
"247","105","1709","Sediment",3,"BYSP",0.0104895104895105
"248","105","1709","Turf",166,"BYSP",0.58041958041958
"249","105","1809","A. acuminata",31,"BYSP",0.108391608391608
"250","105","1809","CCA",38,"BYSP",0.132867132867133
"251","105","1809","Cyano",1,"BYSP",0.0034965034965035
"252","105","1809","M. capitata",7,"BYSP",0.0244755244755245
"253","105","1809","P. damicornis",6,"BYSP",0.020979020979021
"254","105","1809","Peyssonnelia",6,"BYSP",0.020979020979021
"255","105","1809","Turf",197,"BYSP",0.688811188811189
"256","105","2019","A. acuminata",52,"BYSP",0.163009404388715
"257","105","2019","CCA",95,"BYSP",0.297805642633229
"258","105","2019","Caulerpa",5,"BYSP",0.0156739811912226
"259","105","2019","Lobophora",1,"BYSP",0.00313479623824451
"260","105","2019","M. capitata",14,"BYSP",0.0438871473354232
"261","105","2019","P. damicornis",5,"BYSP",0.0156739811912226
"262","105","2019","Peyssonnelia",18,"BYSP",0.0564263322884013
"263","105","2019","Turf",129,"BYSP",0.404388714733542
"264","105","2021","A. acuminata",49,"BYSP",0.152173913043478
"265","105","2021","CCA",43,"BYSP",0.133540372670807
"266","105","2021","Corallimorph",2,"BYSP",0.0062111801242236
"267","105","2021","Galaxaura",5,"BYSP",0.015527950310559
"268","105","2021","M. capitata",17,"BYSP",0.0527950310559006
"269","105","2021","Montipora spp.",3,"BYSP",0.0093167701863354
"270","105","2021","P. damicornis",16,"BYSP",0.0496894409937888
"271","105","2021","Pavona spp.",3,"BYSP",0.0093167701863354
"272","105","2021","Peyssonnelia",11,"BYSP",0.0341614906832298
"273","105","2021","Sediment",2,"BYSP",0.0062111801242236
"274","105","2021","Turf",171,"BYSP",0.531055900621118
"275","107","1408","CCA",30,"XSP",0.113207547169811
"276","107","1408","Corallimorph",164,"XSP",0.618867924528302
"277","107","1408","Peyssonnelia",15,"XSP",0.0566037735849057
"278","107","1408","Turf",56,"XSP",0.211320754716981
"279","107","1409","A. acuminata",3,"XSP",0.0112781954887218
"280","107","1409","Cyano",1,"XSP",0.0037593984962406
"281","107","1409","Dictyota",1,"XSP",0.0037593984962406
"282","107","1409","Hydnophora",1,"XSP",0.0037593984962406
"283","107","1409","Leptastrea",1,"XSP",0.0037593984962406
"284","107","1409","Limestone",223,"XSP",0.838345864661654
"285","107","1409","Lobophora",1,"XSP",0.0037593984962406
"286","107","1409","Montipora spp.",1,"XSP",0.0037593984962406
"287","107","1409","P. damicornis",2,"XSP",0.0075187969924812
"288","107","1409","Peyssonnelia",26,"XSP",0.0977443609022556
"289","107","1409","Pocillopora spp.",1,"XSP",0.0037593984962406
"290","107","1409","Psammocora spp.",1,"XSP",0.0037593984962406
"291","107","1409","Turf",4,"XSP",0.0150375939849624
"292","107","1509","A. acuminata",7,"XSP",0.0233333333333333
"293","107","1509","CCA",77,"XSP",0.256666666666667
"294","107","1509","Caulerpa",9,"XSP",0.03
"295","107","1509","Corallimorph",2,"XSP",0.00666666666666667
"296","107","1509","Galaxaura",2,"XSP",0.00666666666666667
"297","107","1509","Peyssonnelia",9,"XSP",0.03
"298","107","1509","Red_calc_mac",4,"XSP",0.0133333333333333
"299","107","1509","Turf",190,"XSP",0.633333333333333
"300","107","1510","A. acuminata",5,"XSP",0.0168350168350168
"301","107","1510","CCA",45,"XSP",0.151515151515152
"302","107","1510","Caulerpa",5,"XSP",0.0168350168350168
"303","107","1510","Corallimorph",1,"XSP",0.00336700336700337
"304","107","1510","Galaxaura",2,"XSP",0.00673400673400673
"305","107","1510","M. capitata",1,"XSP",0.00336700336700337
"306","107","1510","P. damicornis",2,"XSP",0.00673400673400673
"307","107","1510","Peyssonnelia",1,"XSP",0.00336700336700337
"308","107","1510","Sediment",3,"XSP",0.0101010101010101
"309","107","1510","Turf",232,"XSP",0.781144781144781
"310","107","1606","A. acuminata",9,"XSP",0.0298013245033113
"311","107","1606","CCA",25,"XSP",0.0827814569536424
"312","107","1606","Corallimorph",3,"XSP",0.00993377483443709
"313","107","1606","Galaxaura",1,"XSP",0.0033112582781457
"314","107","1606","Limestone",1,"XSP",0.0033112582781457
"315","107","1606","Lobophora",3,"XSP",0.00993377483443709
"316","107","1606","M. capitata",2,"XSP",0.00662251655629139
"317","107","1606","P. damicornis",1,"XSP",0.0033112582781457
"318","107","1606","Peyssonnelia",10,"XSP",0.033112582781457
"319","107","1606","Red_calc_mac",7,"XSP",0.0231788079470199
"320","107","1606","Turf",240,"XSP",0.794701986754967
"321","107","1609","A. acuminata",10,"XSP",0.0336700336700337
"322","107","1609","CCA",51,"XSP",0.171717171717172
"323","107","1609","Corallimorph",1,"XSP",0.00336700336700337
"324","107","1609","Galaxaura",2,"XSP",0.00673400673400673
"325","107","1609","M. capitata",3,"XSP",0.0101010101010101
"326","107","1609","P. damicornis",2,"XSP",0.00673400673400673
"327","107","1609","Peyssonnelia",6,"XSP",0.0202020202020202
"328","107","1609","Red_calc_mac",3,"XSP",0.0101010101010101
"329","107","1609","Turf",219,"XSP",0.737373737373737
"330","107","1709","A. acuminata",33,"XSP",0.102167182662539
"331","107","1709","CCA",95,"XSP",0.294117647058824
"332","107","1709","Corallimorph",5,"XSP",0.0154798761609907
"333","107","1709","Galaxaura",1,"XSP",0.00309597523219814
"334","107","1709","Limestone",1,"XSP",0.00309597523219814
"335","107","1709","Lobophora",1,"XSP",0.00309597523219814
